,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
2532,.....((((((......((((((......(..............).((...((.((......))))...))............)))))).))))))....,30,45,0,0.19047619047619047,0.25,0.1,0,0.2564102564102564,0,0,1
2533,.....((((((......((((((.......................((...((.((......))))...))..(...).....)))))).))))))....,74,78,0,0.42857142857142855,0.15,0.1,0,0.3296703296703297,0,1,1
2534,.....((((((.......(((((.......................((...((.((......))))...))............)))))..))))))....,-18,-89,0,0.5238095238095238,0.25,0.1,1,0.43223443223443225,0,1,0
2535,.....((((((......((((((..........(......).....((...((.((......))))...))............)))))).))))))....,34,41,0,0.047619047619047616,0.2,0.1,0,0.43956043956043955,1,0,1
2536,.....((((((......((((((........................(...((.((......))))...).............)))))).))))))....,-47,-71,0,0.047619047619047616,0.1,0.1,1,0.4798534798534799,0,0,0
2537,.....((((((......((((((.......................(....((.((......))))....)............)))))).))))))....,-48,-70,0,0.09523809523809523,0.15,0.1,1,0.5238095238095238,0,0,0
2538,.....((((((......((((((.......................((...(..((......)).)...))............)))))).))))))....,-53,-65,0,0.19047619047619047,0.2,0.1,1,0.5787545787545788,0,1,0
2539,.....((((((......(((((........................((...((.((......))))...)).............))))).))))))....,-23,-84,0,0.2857142857142857,0.25,0.1,1,0.6263736263736264,1,0,0
2540,.....((((((......((((((........(..........)...((...((.((......))))...))............)))))).))))))....,32,43,0,0.14285714285714285,0.25,0.1,0,0.6410256410256411,0,0,1
2541,.....((((((......(.((((.......................((...((.((......))))...))............)))).).))))))....,-19,-88,0,0.47619047619047616,0.3,0.1,0,0.706959706959707,1,1,0
2542,.....((((((......((.(((.......................((...((.((......))))...))............))).)).))))))....,-20,-87,0,0.42857142857142855,0.3,0.1,0,0.7252747252747254,1,1,0
2543,.....((((((......((((((.......................((...((..(......).))...))............)))))).))))))....,-55,-64,0,0.23809523809523808,0.2,0.1,1,0.7252747252747254,0,0,0
2544,.....((((((......((((((.....(................)((...((.((......))))...))............)))))).))))))....,29,46,0,0.23809523809523808,0.2,0.1,0,0.7509157509157509,0,0,1
2545,.....((((((......((((.(.......................((...((.((......))))...))............).)))).))))))....,-22,-85,0,0.3333333333333333,0.3,0.1,0,0.7802197802197802,1,0,0
2546,.....((((((......(((.((.......................((...((.((......))))...))............)).))).))))))....,-21,-86,0,0.38095238095238093,0.3,0.1,0,1.0,1,0,0
2547,.....((((((......((((((.......................((...((.((......))))...)).((...))....)))))).))))))....,74,78,1,0.05,0.10526315789473684,0.10526315789473684,1,0.0,0,1,1
2548,.....((((((......((((((.......................((...((.((......))))...))((.....))...)))))).))))))....,72,80,1,0.05,0.10526315789473684,0.10526315789473684,1,0.06818181818181815,0,1,1
2549,.....((((((......((((((.......................((....(.((......)))....)).(.....)....)))))).))))))....,-52,-66,0,0.25,0.2631578947368421,0.10526315789473684,1,0.40909090909090906,0,1,0
2550,.....((((((......((((((.......................((...((.(........)))...)).(.....)....)))))).))))))....,-56,-63,0,0.1,0.21052631578947367,0.10526315789473684,1,0.46590909090909083,0,0,0
